produit ;prix;;;;;
AUCHAN;;;;;;
œufs;4,05 €;;;;;
beurre;2,45 €;;;;;
lait (demie ecrémé ;6,99 €;;;;;
yaourt( panier de yoplait;4,59 €;;;;;
riz ( basmati);2,25 €;;;;;
thon( petit navire);2,39 €;;;;;
eau ( VOLVIC);3,15 €;;;;;
cheddar ;1,29 €;;;;;
SPAGHETTI  PANZANI(1kg);1,99 €;;;;;
sauce tomate (BARILLA );2,75 €;;;;;
POIVRE NOIR DUCROS 28g;4,05 €;;;;;
moutarde(MAILLE 320g);3,29 €;;;;;
mayonnaise (LESIEUR);2,65 €;;;;;
ketchup (HEINZ);2,15 €;;;;;
nutella(1kg);5,79 €;;;;;
café (L'or) starbuck;3,99 €;;;;;
thé LIPTON;2,05 €;;;;;
biscuit (Prince LU);1,59 €;;;;;
cookie Granola;2,75 €;;;;;
madeleine (LE STER);2,39 €;;;;;
brioche  HARRYS;3,05 €;;;;;
pain de mie HARRYS;1,29 €;;;;;
shampoing ( ultra doux;5,65 €;;;;;
dentifrice (Elmex);;;;;;
savon(LE PETIT OLIVIER );;;;;;
coton-tige ;;;;;;
 gel douche Petit marseillais ;;;;;;
demaquillant;;;;;;
déodorant  Rexona;;;;;;
lave-sol (CAROLIN);;;;;;
adoucissant (SOUPLINE ) 4,62 €;;;;;;
desodorisant (SANYTOL );;;;;;
lessive SKIP ;;;;;;
compote;;;;;;
pomme;;;;;;
clémentine ;;;;;;
orange;;;;;;
poire;;;;;;
pomme de terre ;;;;;;
oignon;;;;;;
ail ;;;;;;
courgette ;;;;;;
poivron ;;;;;;
raisin ;;;;;;
choux ;;;;;;
créme fraiche président;;;;;;
huile tournesol ;;;;;;
tomate cerise;;;;;;
emmental français ;;;;;;
liquide vaiselle MIR;;;;;;
jus d'orange joker;;;;;;
glace caramel hagen daaz;;;;;;
Confiture bio fraises ;;;;;;
chocolat noir Nestlé;;;;;;
;;;;;;
;;;;;;
carrefour ;;;;;;
produit ;prix;;;;;
œufs;2,99 €;;;;;
beurre;2,29 €;;;;;
lait (demie ecrémé ;5,88 €;;;;;
yaourt( panier de yoplait;4,35 €;;;;;
riz ( basmati);3,95 €;;;;;
thon( petit navire);2,82 €;;;;;
eau ( VOLVIC);2,17 €;;;;;
cheddar ;3,08;;;;;
Pâtes spaguetti PANZANI 1KG;1,99 €;;;;;
sauce tomate (BARILLA );1,49 €;;;;;
poivre noire DUCROS 28G  3,45€;3,45 €;;;;;
moutarde(maille )320;2,79 €;;;;;
mayonnaise (lesieur) 425g;2,37 €;;;;;
ketchup (hEINZ) 435g         2,15 €;;;;;;
nutella 1kg;5,62 €;;;;;
café starbucks;3,79 €;;;;;
thé LIPTON menthe intense;1,55 €;;;;;
biscuit (Prince LU);1,39 €;;;;;
cookie Granola;2,05 €;;;;;
madeleine (LE STERS);2,49 €;;;;;
brioche  HARRYS;2,89 €;;;;;
pain de mie HARRYS;1,75 €;;;;;
shampoing ( ultra doux;2,65 €;;;;;
dentifrice (Elmex);8,35 €;;;;;
savon(LE PETIT OLIVIER );2,39 €;;;;;
coton-tige ;1,85 €;;;;;
 gel douche Petit marseillais ;3,73 €;;;;;
demaquillant;4,20 €;;;;;
déodorant  Rexona;2,65 €;;;;;
lave-sol (CAROLIN);2,95 €;;;;;
adoucissant (SOUPLINE ) 4,62 €;;;;;;
desodorisant (SANYTOL );3,99 €;;;;;
lessive SKIP ;12,35 €;;;;;
compote;2,65 €;;;;;
pomme;2,98 €;;;;;
clémentine ;3,90 €;;;;;
orange;2,69 €;;;;;
poire;1,85 €;;;;;
pomme de terre ;3,49 €;;;;;
oignon;2,89 €;;;;;
ail ;3,49 €;;;;;
courgette ;2,69 €;;;;;
poivron ;2,99 €;;;;;
raisin ;3,50 €;;;;;
choux ;3,15 €;;;;;
créme fraiche président;1,99 €;;;;;
huile tournesol ;3,39 €;;;;;
tomate cerise;2,29 €;;;;;
emmental français ;2,39 €;;;;;
liquide vaiselle MIR;1,99 €;;;;;
jus d'orange joker;1,49 €;;;;;
glace caramel hagen daaz;5,35 €;;;;;
Confiture bio fraises ;1,68 €;;;;;
chocolat noir Nestlé;1,89 €;;;;;
Leclerc;prix;;;;;
produit ; ;;;;;
œufs;1,83 €;;;;;
beurre;6,42 €;;;;;
lait (demie ecrémé ;4,99 €;;;;;
yaourt( panier de yoplait;2,42 €;;;;;
riz ( basmati);3,58 €;;;;;
thon;2,21 €;;;;;
eau;2,72 €;;;;;
cheddar ;;;;;;
Pâtes torti PANZANI;2,28 €;;;;;
sauce tomate (BARILLA );1,62 €;;;;;
poivre noir ;;;;;;
moutarde(MAILLE);;;;;;
mayonnaise (AMORA);3,34 €;;;;;
ketchup (HEINZ) 435g;2,15 €;;;;;
nutella;;;;;;
café  starbucks;3,71 €;;;;;
thé LIPTON;1,55 €;;;;;
biscuit (Prince LU);1,17 €;;;;;
cookie Granola;2,02 €;;;;;
madeleine (SL);;;;;;
brioche  HARRYS;;;;;;
pain de mie HARRYS;;;;;;
shampoing ( ultra doux;;;;;;
dentifrice (Elmex);;;;;;
savon(LE PETIT OLIVIER );;;;;;
coton-tige ;;;;;;
 gel douche Petit marseillais ;;;;;;
demaquillant;;;;;;
déodorant  Rexona;;;;;;
lave-sol (CAROLIN);;;;;;
adoucissant (SOUPLINE ) 4,62 €;;;;;;
desodorisant (SANYTOL );;;;;;
lessive SKIP ;;;;;;
compote;;;;;;
pomme;;;;;;
clémentine ;;;;;;
orange;2,69 €;;;;;
poire; ;;;;;
pomme de terre ;;;;;;
oignon; ;;;;;
ail ;;;;;;
courgette ;;;;;;
poivron ;;;;;;
raisin ;;;;;;
choux ;3,15 €;;;;;
créme fraiche président;1,99 €;;;;;
huile tournesol ;3,39 €;;;;;
tomate cerise;2,29 €;;;;;
emmental français ;2,39 €;;;;;
liquide vaiselle MIR;1,99 €;;;;;
jus d'orange joker;1,49 €;;;;;
glace caramel hagen daaz;5,35 €;;;;;
Confiture bio fraises ;1,68 €;;;;;
chocolat noir Nestlé;1,89 €;;;;;